source_id,purpose,official_source,checked_point,url
movies,映画一覧,Marvel Movies,Bladeは現行一覧に残るが日付なし／Doomsday・Brand New Day・Secret Wars等,https://www.marvel.com/movies/
tv,TV一覧,Marvel TV Shows,VisionQuest、Daredevil BA S3、Wonder Man S2、YFNSM S2、X-Men '97 S2等,https://www.marvel.com/tv-shows/
visionquest,VisionQuest,Marvel Television,2026-10-14、WandaVision→Agatha→VisionQuest三部作,https://www.marvel.com/articles/tv-shows/marvel-television-visionquest-release-date?pubDate=20260513
ff-doomsday,Fantastic Four→Doomsday,Kevin Feige / Marvel,First StepsがDoomsdayへ直接つながる,https://www.marvel.com/articles/movies/fantastic-four-first-steps-avengers-doomsday-kevin-feige?pubDate=20250808
doomsday,Doomsday,Marvel Japan,現行Doomsday公式ページ・2026-12-18公開・帰還ティザー,https://marvel.disney.co.jp/movie/avengers-doomsday
brand-new-day,Brand New Day,Marvel,2026-07-31,https://www.marvel.com/movies/spider-man-brand-new-day
xmen97-s2,X-Men '97 S2,Marvel,2026年Season 2掲載／公式記事で7月1日告知,https://www.marvel.com/articles/tv-shows/x-men-97-season-2-trailer-july-1-2026-release-date-disney-plus
marvel-jp-titlelist,日本公式タイトル,Marvel Japan,日本語作品名の現行一覧,https://marvel.disney.co.jp/titlelist
bnd-sony-2026,Brand New Day,Sony Pictures Japan,邦題・公開日・No Way Homeから4年後・Jon Bernthal/Mark Ruffalo出演,https://www.sonypictures.jp/corp/press/2026-03-18-0
bnd-yelena-primary,Brand New Day Yelena,Motion Picture Association / creator interview,脚本家がYelena登場を明示,https://www.motionpictures.org/2026/08/spider-man-brand-new-day-writers-chris-mckenna-erik-sommers-on-finding-the-storys-missing-piece/
beyond-cinemacon-2026,Beyond the Spider-Verse,Sony Group,2027-06-18米公開へ更新,https://www.sony.com/en/SonyInfo/blog/2026/05/19/
doomsday-jp,Doomsday,Marvel Japan,日本邦題・2026-12-18・Thor/Wakanda/X-Men等帰還ティザー,https://marvel.disney.co.jp/movie/avengers-doomsday
doomsday-related-13,Doomsday関連作,Marvel Japan,公開記念の関連13作品,https://marvel.disney.co.jp/movie/news/20260729_01
thunderbolts-jp,Thunderbolts*,Marvel Japan,正式作品名とNew Avengersチーム名の区別,https://marvel.disney.co.jp/movie/thunderbolts
thunderbolts-doomsday,Thunderbolts*→Doomsday,Marvel Japan,Doomsdayにつながる一作と公式記述,https://marvel.disney.co.jp/movie/thunderbolts/news/20250514_01
marvel-jp-doomsday-sdcc-2026,Doomsday cast/returns,Marvel Japan,"Peggy Carter, Cyclops, Beast, Mystiqueほかキャスト帰還",https://marvel.disney.co.jp/movie/avengers-doomsday/news/20260726_01
sony-bnd-2026-07-03,Brand New Day current title/story/cast,Sony Pictures Japan,邦題・公開日・No Way Homeから4年後・Jon Bernthal/Mark Ruffalo cast,https://www.sonypictures.jp/corp/press/2026-07-03
sony-beyond-2026,Beyond the Spider-Verse title/date,Sony Group,最終章、日本語表記、米公開2027-06-18,https://www.sony.com/ja/SonyInfo/blog/2026/05/19/
doomsday-road-2026,Doomsday / Secret Wars 2部作,Marvel Japan,Russo監督コメントで壮大な2部作として案内,https://marvel.disney.co.jp/avengers-special
sony-bnd-current-2026-08,Brand New Day公開後ストーリー,Sony Pictures Japan,劇場公開中・Hulkとの戦いを含む現行紹介,https://www.sonypictures.jp/
bnd-writers-2026-08,Brand New Day人物関係,Motion Picture Association / screenwriters,Punisher / Hulk / Yelenaの主要役割を脚本家が説明,https://www.motionpictures.org/2026/08/spider-man-brand-new-day-writers-chris-mckenna-erik-sommers-on-finding-the-storys-missing-piece/
thunderbolts-doomsday-turningpoint,Thunderbolts*→Doomsday,Marvel Japan,Doomsday参戦決定・重要な鍵を握るターニングポイント,https://marvel.disney.co.jp/movie/thunderbolts/news/20250430_04
marvel-movies-current-v4,現行Marvel映画一覧,Marvel,Doomsday 2026-12-18 / Secret Wars 2027-12-17 / Brand New Day 2026-07-31,https://www.marvel.com/movies/
