edge_id,source_id,source_title_ja,target_id,target_title_ja,type_ja,type_en,strength,render_class,importance,importance_ja,importance_note,reason,audit_status,audit_basis,audit_source_url,last_verified,management_notes,audit_confidence,audit_source_kind,relation_scope,directness,continuity_scope,render_relation_map,render_chronology,render_prewatch,evidence_level,proxy_note,relation_kind,prewatch_tier,prewatch_reason,prewatch_basis,prewatch_review_status,prewatch_last_reviewed
iron-man-2008 -> iron-man-2-2010,iron-man-2008,アイアンマン,iron-man-2-2010,アイアンマン2,直接の続編,direct sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
iron-man-2-2010 -> the-avengers-2012,iron-man-2-2010,アイアンマン2,the-avengers-2012,アベンジャーズ,チーム合流／クロスオーバー,team crossover / convergence,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-avengers-2012 -> avengers-age-of-ultron-2015,the-avengers-2012,アベンジャーズ,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,アベンジャーズ直系の続編,direct Avengers sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-age-of-ultron-2015 -> captain-america-civil-war-2016,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,アベンジャーズの余波／政治的後日談,Avengers fallout / political aftermath,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,indirect,same_or_intended,true,false,true,legacy-structured,,aftermath,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-civil-war-2016 -> avengers-infinity-war-2018,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,アベンジャーズの状態を引き継ぐ,Avengers-status continuation,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-infinity-war-2018 -> avengers-endgame-2019,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,avengers-endgame-2019,アベンジャーズ／エンドゲーム,イベント直系の続編,direct event sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-the-first-avenger-2011 -> the-avengers-2012,captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,the-avengers-2012,アベンジャーズ,キャラクター／チームのクロスオーバー,character/team crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-avengers-2012 -> captain-america-the-winter-soldier-2014,the-avengers-2012,アベンジャーズ,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,キャラクター／S.H.I.E.L.D.継続,character/SHIELD continuation,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,world_lore,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-the-winter-soldier-2014 -> avengers-age-of-ultron-2015,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,チーム・クロスオーバー,team crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
thor-2011 -> the-avengers-2012,thor-2011,マイティ・ソー,the-avengers-2012,アベンジャーズ,キャラクター／チームのクロスオーバー,character/team crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-avengers-2012 -> thor-the-dark-world-2013,the-avengers-2012,アベンジャーズ,thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,キャラクター継続,character continuation,medium,dashed,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
thor-the-dark-world-2013 -> avengers-age-of-ultron-2015,thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,チーム・クロスオーバー,team crossover,medium,dashed,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-age-of-ultron-2015 -> thor-ragnarok-2017,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,thor-ragnarok-2017,マイティ・ソー バトルロイヤル,キャラクター継続,character continuation,medium,dashed,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
thor-ragnarok-2017 -> avengers-infinity-war-2018,thor-ragnarok-2017,マイティ・ソー バトルロイヤル,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,直結する引き継ぎ,explicit immediate handoff,very strong,solid_thick,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,same_or_intended,true,true,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-endgame-2019 -> thor-love-and-thunder-2022,avengers-endgame-2019,アベンジャーズ／エンドゲーム,thor-love-and-thunder-2022,ソー：ラブ＆サンダー,キャラクター継続,character continuation,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
guardians-of-the-galaxy-2014 -> guardians-of-the-galaxy-vol-2-2017,guardians-of-the-galaxy-2014,ガーディアンズ・オブ・ギャラクシー,guardians-of-the-galaxy-vol-2-2017,ガーディアンズ・オブ・ギャラクシー：リミックス,直接の続編,direct sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
