evidence_id,fact_table,fact_id,source_id,evidence_role,quoted_or_paraphrased_note,verified_at
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-006fedbfc5-marvel-jp-doomsday-sdcc-2026,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-006fedbfc5,marvel-jp-doomsday-sdcc-2026,legacy_seed,Hayley Atwell / Peggy Carter return confirmed,
evidence-portrayals-csv-portrayal-avengers-doomsday-2026-12-18-person-hayley-atwell-entity-x-006fedbfc5-marvel-jp-doomsday-sdcc-2026,portrayals.csv,portrayal-avengers-doomsday-2026-12-18-person-hayley-atwell-entity-x-006fedbfc5,marvel-jp-doomsday-sdcc-2026,legacy_seed,Hayley Atwell / Peggy Carter return confirmed,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-5d862e63a7-marvel-jp-doomsday-sdcc-2026,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-5d862e63a7,marvel-jp-doomsday-sdcc-2026,legacy_seed,James Marsden cast confirmed,
evidence-portrayals-csv-portrayal-avengers-doomsday-2026-12-18-person-james-marsden-entity-x-5d862e63a7-marvel-jp-doomsday-sdcc-2026,portrayals.csv,portrayal-avengers-doomsday-2026-12-18-person-james-marsden-entity-x-5d862e63a7,marvel-jp-doomsday-sdcc-2026,legacy_seed,James Marsden cast confirmed,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-a07a9a5400-marvel-jp-doomsday-sdcc-2026,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-a07a9a5400,marvel-jp-doomsday-sdcc-2026,legacy_seed,Kelsey Grammer cast confirmed,
evidence-portrayals-csv-portrayal-avengers-doomsday-2026-12-18-person-kelsey-grammer-entity-x-a07a9a5400-marvel-jp-doomsday-sdcc-2026,portrayals.csv,portrayal-avengers-doomsday-2026-12-18-person-kelsey-grammer-entity-x-a07a9a5400,marvel-jp-doomsday-sdcc-2026,legacy_seed,Kelsey Grammer cast confirmed,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-a60eefc8ef-marvel-jp-doomsday-sdcc-2026,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-a60eefc8ef,marvel-jp-doomsday-sdcc-2026,legacy_seed,Rebecca Romijn cast confirmed,
evidence-portrayals-csv-portrayal-avengers-doomsday-2026-12-18-person-rebecca-romijn-entity-x-a60eefc8ef-marvel-jp-doomsday-sdcc-2026,portrayals.csv,portrayal-avengers-doomsday-2026-12-18-person-rebecca-romijn-entity-x-a60eefc8ef,marvel-jp-doomsday-sdcc-2026,legacy_seed,Rebecca Romijn cast confirmed,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-7250204b23-doomsday,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-7250204b23,doomsday,legacy_seed,official return teaser / cast,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-a2369a66bb-doomsday,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-a2369a66bb,doomsday,legacy_seed,official Wakanda return teaser / cast,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-4cedb595b2-doomsday,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-4cedb595b2,doomsday,legacy_seed,official Wakanda return teaser / cast,
evidence-appearances-csv-appearance-avengers-doomsday-2026-12-18-entity-x-fbf9e4f4cf-doomsday,appearances.csv,appearance-avengers-doomsday-2026-12-18-entity-x-fbf9e4f4cf,doomsday,legacy_seed,official Wakanda return teaser / cast,
evidence-appearances-csv-appearance-spider-man-brand-new-day-2026-07-31-entity-x-797ce92fcd-sony-bnd-2026-07-03,appearances.csv,appearance-spider-man-brand-new-day-2026-07-31-entity-x-797ce92fcd,sony-bnd-2026-07-03,legacy_seed,Sony official cast list confirms Jon Bernthal,
evidence-portrayals-csv-portrayal-spider-man-brand-new-day-2026-07-31-person-jon-bernthal-entity-x-797ce92fcd-sony-bnd-2026-07-03,portrayals.csv,portrayal-spider-man-brand-new-day-2026-07-31-person-jon-bernthal-entity-x-797ce92fcd,sony-bnd-2026-07-03,legacy_seed,Sony official cast list confirms Jon Bernthal,
evidence-portrayals-csv-portrayal-spider-man-brand-new-day-2026-07-31-person-mark-ruffalo-unknown-role-sony-bnd-2026-07-03,portrayals.csv,portrayal-spider-man-brand-new-day-2026-07-31-person-mark-ruffalo-unknown-role,sony-bnd-2026-07-03,legacy_seed,Sony official cast list confirms Mark Ruffalo,
evidence-frank-castle-identity-marvel-2017,entity_relations.csv,entity-relation-frank-castle-brand-new-day-alias-identity,marvel-punisher-frank-2017,primary,Marvel公式はFrank CastleをJon Bernthalとして明記しており既存Punisher entityの人物同一性を確認できる,2026-08-27
evidence-frank-castle-identity-bnd-writers-2026,entity_relations.csv,entity-relation-frank-castle-brand-new-day-alias-identity,bnd-writers-2026-08,supporting,Brand New Day脚本家インタビューがPunisher登場を明示しlegacy aliasが同じFrank Castleを指すことを補強する,2026-08-27
evidence-bnd-punisher-appearance-writers-2026,appearances.csv,appearance-spider-man-brand-new-day-2026-07-31-entity-x-797ce92fcd,bnd-writers-2026-08,primary,Brand New Day脚本家インタビューはJon BernthalのFrank Castle/the Punisherが本編で役割を持つことを明示する,2026-08-27
evidence-bnd-punisher-portrayal-writers-2026,portrayals.csv,portrayal-spider-man-brand-new-day-2026-07-31-person-jon-bernthal-entity-x-797ce92fcd,bnd-writers-2026-08,primary,Brand New Day脚本家インタビューはJon BernthalをFrank Castle/the Punisherとして明記する,2026-08-27
evidence-earth-828-continuity-marvel-2025,continuities.csv,continuity-earth-828,ff-doomsday,primary,Marvel公式はThe Fantastic Four: First Stepsの舞台をanother universeであるEarth-828と明記する,2026-08-27
evidence-first-steps-earth-828-membership-marvel-2025,work_continuities.csv,work-continuity-the-fantastic-four-first-steps-2025-continuity-earth-828,ff-doomsday,primary,Marvel公式はFirst Stepsの設定宇宙をEarth-828と特定する,2026-08-27
evidence-first-steps-legacy-mcu-continuity-conflict,work_continuities.csv,work-continuity-the-fantastic-four-first-steps-2025-continuity-mcu,ff-doomsday,conflicting,Marvel公式がFirst Stepsを別宇宙Earth-828と明記するためlegacy MCU group membershipを同一宇宙continuityとして保持しない,2026-08-27
evidence-first-steps-doomsday-lead-in-marvel-2025,work_relations.csv,work-relation-the-fantastic-four-first-steps-2025-avengers-doomsday-2026-12-18-lead-in,ff-doomsday,primary,Kevin Feige states that The Fantastic Four: First Steps directly leads into Avengers: Doomsday,2026-08-27
evidence-thunderbolts-f4-arrival-film-2025,work_relations.csv,work-relation-thunderbolts-new-avengers-2025-the-fantastic-four-first-steps-2025-crossover,thunderbolts-postcredits-film-2025,primary,Thunderbolts* post-credit scene identifies an extradimensional ship entering the atmosphere and shows the Fantastic Four 4 mark; this establishes the Earth-828 team's arrival into Earth-616 without changing their origin universe,2026-08-27
evidence-thunderbolts-f4-arrival-lat-2025,work_relations.csv,work-relation-thunderbolts-new-avengers-2025-the-fantastic-four-first-steps-2025-crossover,lat-thunderbolts-postcredits-2025,supporting,Los Angeles Times independently describes the extradimensional spaceship with the Fantastic Four logo in the Thunderbolts* post-credit scene,2026-08-27
evidence-spider-man-3-nwh-marvel-2023,work_relations.csv,work-relation-spider-man-3-2007-spider-man-no-way-home-2021-crossover,marvel-nwh-multiverse-2023,primary,Marvel identifies Tobey Maguire among the three Spider-Men brought together and frames the returning characters as coming from across the Multiverse.,2026-08-27
evidence-tasm2-nwh-marvel-2023,work_relations.csv,work-relation-the-amazing-spider-man-2-2014-spider-man-no-way-home-2021-crossover,marvel-nwh-multiverse-2023,primary,Marvel identifies Andrew Garfield among the three Spider-Men brought together and frames the returning characters as coming from across the Multiverse.,2026-08-27
evidence-venom-ltbc-nwh-film-2021,work_relations.csv,work-relation-venom-let-there-be-carnage-2021-spider-man-no-way-home-2021-crossover,venom-ltbc-film-2021,primary,Released-film post-credit establishes Eddie Brock/Venom's transition out of their home setting into the MCU setting.,2026-08-27
evidence-venom-ltbc-nwh-lat-2021,work_relations.csv,work-relation-venom-let-there-be-carnage-2021-spider-man-no-way-home-2021-crossover,lat-nwh-venom-2021,supporting,Los Angeles Times explicitly connects the Let There Be Carnage transport scene to Eddie/Venom's MCU presence in No Way Home's mid-credit scene.,2026-08-27
evidence-nwh-mom-fallout-marvel-2022,work_relations.csv,work-relation-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-crossover,marvel-mom-nwh-fallout-2022,primary,"Marvel explicitly describes Multiverse of Madness as dealing with fallout from Strange's time, memory and Multiverse tampering in No Way Home.",2026-08-27
evidence-loki-dw-d23-2024,work_relations.csv,work-relation-loki-s2-2023-deadpool-wolverine-2024-crossover,d23-deadpool-wolverine-tva-2024,supporting,D23 confirms TVA agents and Mr. Paradox directly recruit Wade in Deadpool & Wolverine.,2026-08-27
evidence-loki-dw-screenplay-2024,work_relations.csv,work-relation-loki-s2-2023-deadpool-wolverine-2024-crossover,deadpool-wolverine-screenplay-2024,primary,Marvel Studios' screenplay explicitly describes the TVA Minutemen as upgraded since they were last seen in Loki.,2026-08-27
evidence-logan-dw-screenplay-2024,work_relations.csv,work-relation-logan-2017-deadpool-wolverine-2024-story-link,deadpool-wolverine-screenplay-2024,primary,The official screenplay opens at the same grave/tree where Logan died and makes that Logan's death a direct premise for Wade's endangered homeworld.,2026-08-27
evidence-dw-doomsday-feige-2025,work_relations.csv,work-relation-deadpool-wolverine-2024-avengers-doomsday-2026-12-18-crossover,ff-doomsday,supporting,"Feige's comment supports a broader legacy-X-Men thematic bridge to Doomsday, but does not identify the exact Deadpool/Wolverine variants as Doomsday returnees.",2026-08-27
evidence-marvels-doomsday-new-dimension-ew-2023,work_relations.csv,work-relation-the-marvels-2023-avengers-doomsday-2026-12-18-story-link,ew-the-marvels-new-dimension-2023,supporting,Marvel Studios executive producer describes Monica meeting Binary and Beast in a new dimension; this supports a real X-Men-facing multiverse bridge while leaving exact Doomsday return continuity unresolved.,2026-08-27
evidence-homecoming-vulture-appearance-2017,appearances.csv,appearance-spider-man-homecoming-2017-entity-adrian-toomes-vulture,homecoming-film-vulture-2017,primary,Marvel's Homecoming description identifies Vulture as the film's villain; the released film establishes Adrian Toomes in that role.,2026-08-27
