group_id,segment_id,sequence_order,work_id,title_ja,relation_mode,placement_note
spider_raimi,spider_raimi__1,1,spider-man-2002,スパイダーマン,line,配置用。連続線はstory_paths.csvを参照。
spider_raimi,spider_raimi__1,2,spider-man-2-2004,スパイダーマン2,line,配置用。連続線はstory_paths.csvを参照。
spider_raimi,spider_raimi__1,3,spider-man-3-2007,スパイダーマン3,line,配置用。連続線はstory_paths.csvを参照。
spider_amazing,spider_amazing__1,1,the-amazing-spider-man-2012,アメイジング・スパイダーマン,line,配置用。連続線はstory_paths.csvを参照。
spider_amazing,spider_amazing__1,2,the-amazing-spider-man-2-2014,アメイジング・スパイダーマン2,line,配置用。連続線はstory_paths.csvを参照。
spider_mcu,spider_mcu__1,1,spider-man-homecoming-2017,スパイダーマン：ホームカミング,line,配置用。連続線はstory_paths.csvを参照。
spider_mcu,spider_mcu__1,2,spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,line,配置用。連続線はstory_paths.csvを参照。
spider_mcu,spider_mcu__1,3,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,line,配置用。連続線はstory_paths.csvを参照。
spider_mcu,spider_mcu__1,4,spider-man-brand-new-day-2026-07-31,スパイダーマン：ブランド・ニュー・デイ,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,1,captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,2,captain-marvel-2019,キャプテン・マーベル,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,3,iron-man-2008,アイアンマン,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,4,iron-man-2-2010,アイアンマン2,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,5,the-incredible-hulk-2008,インクレディブル・ハルク,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,6,thor-2011,マイティ・ソー,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,7,the-avengers-2012,アベンジャーズ,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,8,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,9,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,10,avengers-endgame-2019,アベンジャーズ／エンドゲーム,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,11,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,line,配置用。連続線はstory_paths.csvを参照。
mcu_shared,mcu_shared__1,12,avengers-secret-wars-2027-12-17,Avengers: Secret Wars （邦題未発表）,line,配置用。連続線はstory_paths.csvを参照。
mcu_cap,mcu_cap__1,1,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,line,配置用。連続線はstory_paths.csvを参照。
