legacy_row_id,legacy_kind,disposition,fact_ids,notes
charlink-000001,CHAR_LINKS,migrated_appearance_seed,appearance-iron-man-2008-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000002,CHAR_LINKS,migrated_appearance_seed,appearance-iron-man-2-2010-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000003,CHAR_LINKS,migrated_appearance_seed,appearance-the-avengers-2012-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000004,CHAR_LINKS,migrated_appearance_seed,appearance-iron-man-3-2013-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000005,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-age-of-ultron-2015-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000006,CHAR_LINKS,migrated_appearance_seed,appearance-captain-america-civil-war-2016-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000007,CHAR_LINKS,migrated_appearance_seed,appearance-spider-man-homecoming-2017-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000008,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-infinity-war-2018-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000009,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-endgame-2019-entity-x-5a2ee964f0,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000010,CHAR_LINKS,migrated_appearance_seed,appearance-captain-america-the-first-avenger-2011-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000011,CHAR_LINKS,migrated_appearance_seed,appearance-the-avengers-2012-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000012,CHAR_LINKS,migrated_appearance_seed,appearance-captain-america-the-winter-soldier-2014-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000013,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-age-of-ultron-2015-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000014,CHAR_LINKS,migrated_appearance_seed,appearance-captain-america-civil-war-2016-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000015,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-infinity-war-2018-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000016,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-endgame-2019-entity-x-f2dcf7c7cc,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000017,CHAR_LINKS,migrated_appearance_seed,appearance-thor-2011-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000018,CHAR_LINKS,migrated_appearance_seed,appearance-the-avengers-2012-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000019,CHAR_LINKS,migrated_appearance_seed,appearance-thor-the-dark-world-2013-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000020,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-age-of-ultron-2015-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000021,CHAR_LINKS,migrated_appearance_seed,appearance-thor-ragnarok-2017-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000022,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-infinity-war-2018-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000023,CHAR_LINKS,migrated_appearance_seed,appearance-avengers-endgame-2019-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000024,CHAR_LINKS,migrated_appearance_seed,appearance-thor-love-and-thunder-2022-entity-x-7250204b23,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000025,CHAR_LINKS,migrated_appearance_seed,appearance-iron-man-2-2010-entity-x-927d19aa0b,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000026,CHAR_LINKS,migrated_appearance_seed,appearance-the-avengers-2012-entity-x-927d19aa0b,Exact legacy character/work pair preserved as unverified appearance seed.
charlink-000027,CHAR_LINKS,migrated_appearance_seed,appearance-captain-america-the-winter-soldier-2014-entity-x-927d19aa0b,Exact legacy character/work pair preserved as unverified appearance seed.
