work_relation_id,source_work_id,target_work_id,relation_kind,relation_scope,directness,continuity_scope,certainty,verification_status,notes
work-relation-iron-man-2008-iron-man-2-2010-sequel,iron-man-2008,iron-man-2-2010,sequel,story,direct,same_or_intended,confirmed,source_verified,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-iron-man-2-2010-the-avengers-2012-crossover,iron-man-2-2010,the-avengers-2012,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-the-avengers-2012-avengers-age-of-ultron-2015-sequel,the-avengers-2012,avengers-age-of-ultron-2015,sequel,story,direct,same_or_intended,probable,source_verified,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-avengers-age-of-ultron-2015-captain-america-civil-war-2016-aftermath,avengers-age-of-ultron-2015,captain-america-civil-war-2016,aftermath,story,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-captain-america-civil-war-2016-avengers-infinity-war-2018-crossover,captain-america-civil-war-2016,avengers-infinity-war-2018,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-avengers-infinity-war-2018-avengers-endgame-2019-sequel,avengers-infinity-war-2018,avengers-endgame-2019,sequel,story,direct,same_or_intended,probable,source_verified,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-captain-america-the-first-avenger-2011-the-avengers-2012-crossover,captain-america-the-first-avenger-2011,the-avengers-2012,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-the-avengers-2012-captain-america-the-winter-soldier-2014-world-lore,the-avengers-2012,captain-america-the-winter-soldier-2014,world_lore,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-captain-america-the-winter-soldier-2014-avengers-age-of-ultron-2015-crossover,captain-america-the-winter-soldier-2014,avengers-age-of-ultron-2015,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-thor-2011-the-avengers-2012-crossover,thor-2011,the-avengers-2012,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-thor-the-dark-world-2013-avengers-age-of-ultron-2015-crossover,thor-the-dark-world-2013,avengers-age-of-ultron-2015,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-thor-ragnarok-2017-avengers-infinity-war-2018-crossover,thor-ragnarok-2017,avengers-infinity-war-2018,crossover,crossover,direct,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-guardians-of-the-galaxy-2014-guardians-of-the-galaxy-vol-2-2017-sequel,guardians-of-the-galaxy-2014,guardians-of-the-galaxy-vol-2-2017,sequel,story,direct,same_or_intended,confirmed,source_verified,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-guardians-of-the-galaxy-vol-2-2017-avengers-infinity-war-2018-crossover,guardians-of-the-galaxy-vol-2-2017,avengers-infinity-war-2018,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-the-guardians-of-the-galaxy-holiday-special-2022-guardians-of-the-galaxy-vol-3-2023-lead-in,the-guardians-of-the-galaxy-holiday-special-2022,guardians-of-the-galaxy-vol-3-2023,lead_in,story,direct,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-ant-man-2015-captain-america-civil-war-2016-crossover,ant-man-2015,captain-america-civil-war-2016,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-captain-america-civil-war-2016-ant-man-and-the-wasp-2018-aftermath,captain-america-civil-war-2016,ant-man-and-the-wasp-2018,aftermath,story,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
