legacy_row_id,legacy_edge_id,source_id,target_id,legacy_relation_scope,legacy_relation_kind,disposition,work_relation_id,migration_note,legacy_reason
connection-000001,iron-man-2008 -> iron-man-2-2010,iron-man-2008,iron-man-2-2010,story,sequel,migrated_explicit_relation,work-relation-iron-man-2008-iron-man-2-2010-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000002,iron-man-2-2010 -> the-avengers-2012,iron-man-2-2010,the-avengers-2012,crossover,crossover,migrated_explicit_relation,work-relation-iron-man-2-2010-the-avengers-2012-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000003,the-avengers-2012 -> avengers-age-of-ultron-2015,the-avengers-2012,avengers-age-of-ultron-2015,story,sequel,migrated_explicit_relation,work-relation-the-avengers-2012-avengers-age-of-ultron-2015-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000004,avengers-age-of-ultron-2015 -> captain-america-civil-war-2016,avengers-age-of-ultron-2015,captain-america-civil-war-2016,story,aftermath,migrated_explicit_relation,work-relation-avengers-age-of-ultron-2015-captain-america-civil-war-2016-aftermath,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000005,captain-america-civil-war-2016 -> avengers-infinity-war-2018,captain-america-civil-war-2016,avengers-infinity-war-2018,crossover,crossover,migrated_explicit_relation,work-relation-captain-america-civil-war-2016-avengers-infinity-war-2018-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000006,avengers-infinity-war-2018 -> avengers-endgame-2019,avengers-infinity-war-2018,avengers-endgame-2019,story,sequel,migrated_explicit_relation,work-relation-avengers-infinity-war-2018-avengers-endgame-2019-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000007,captain-america-the-first-avenger-2011 -> the-avengers-2012,captain-america-the-first-avenger-2011,the-avengers-2012,crossover,crossover,migrated_explicit_relation,work-relation-captain-america-the-first-avenger-2011-the-avengers-2012-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000008,the-avengers-2012 -> captain-america-the-winter-soldier-2014,the-avengers-2012,captain-america-the-winter-soldier-2014,crossover,world_lore,migrated_explicit_relation,work-relation-the-avengers-2012-captain-america-the-winter-soldier-2014-world-lore,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000009,captain-america-the-winter-soldier-2014 -> avengers-age-of-ultron-2015,captain-america-the-winter-soldier-2014,avengers-age-of-ultron-2015,crossover,crossover,migrated_explicit_relation,work-relation-captain-america-the-winter-soldier-2014-avengers-age-of-ultron-2015-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000010,thor-2011 -> the-avengers-2012,thor-2011,the-avengers-2012,crossover,crossover,migrated_explicit_relation,work-relation-thor-2011-the-avengers-2012-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000011,the-avengers-2012 -> thor-the-dark-world-2013,the-avengers-2012,thor-the-dark-world-2013,crossover,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000012,thor-the-dark-world-2013 -> avengers-age-of-ultron-2015,thor-the-dark-world-2013,avengers-age-of-ultron-2015,crossover,crossover,migrated_explicit_relation,work-relation-thor-the-dark-world-2013-avengers-age-of-ultron-2015-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000013,avengers-age-of-ultron-2015 -> thor-ragnarok-2017,avengers-age-of-ultron-2015,thor-ragnarok-2017,crossover,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000014,thor-ragnarok-2017 -> avengers-infinity-war-2018,thor-ragnarok-2017,avengers-infinity-war-2018,crossover,crossover,migrated_explicit_relation,work-relation-thor-ragnarok-2017-avengers-infinity-war-2018-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000015,avengers-endgame-2019 -> thor-love-and-thunder-2022,avengers-endgame-2019,thor-love-and-thunder-2022,crossover,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000016,guardians-of-the-galaxy-2014 -> guardians-of-the-galaxy-vol-2-2017,guardians-of-the-galaxy-2014,guardians-of-the-galaxy-vol-2-2017,story,sequel,migrated_explicit_relation,work-relation-guardians-of-the-galaxy-2014-guardians-of-the-galaxy-vol-2-2017-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000017,guardians-of-the-galaxy-vol-2-2017 -> avengers-infinity-war-2018,guardians-of-the-galaxy-vol-2-2017,avengers-infinity-war-2018,crossover,crossover,migrated_explicit_relation,work-relation-guardians-of-the-galaxy-vol-2-2017-avengers-infinity-war-2018-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000018,avengers-endgame-2019 -> the-guardians-of-the-galaxy-holiday-special-2022,avengers-endgame-2019,the-guardians-of-the-galaxy-holiday-special-2022,crossover,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000019,the-guardians-of-the-galaxy-holiday-special-2022 -> guardians-of-the-galaxy-vol-3-2023,the-guardians-of-the-galaxy-holiday-special-2022,guardians-of-the-galaxy-vol-3-2023,story,lead_in,migrated_explicit_relation,work-relation-the-guardians-of-the-galaxy-holiday-special-2022-guardians-of-the-galaxy-vol-3-2023-lead-in,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000020,ant-man-2015 -> captain-america-civil-war-2016,ant-man-2015,captain-america-civil-war-2016,crossover,crossover,migrated_explicit_relation,work-relation-ant-man-2015-captain-america-civil-war-2016-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000021,captain-america-civil-war-2016 -> ant-man-and-the-wasp-2018,captain-america-civil-war-2016,ant-man-and-the-wasp-2018,story,aftermath,migrated_explicit_relation,work-relation-captain-america-civil-war-2016-ant-man-and-the-wasp-2018-aftermath,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000022,ant-man-and-the-wasp-2018 -> avengers-endgame-2019,ant-man-and-the-wasp-2018,avengers-endgame-2019,story,lead_in,migrated_explicit_relation,work-relation-ant-man-and-the-wasp-2018-avengers-endgame-2019-lead-in,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000023,avengers-endgame-2019 -> ant-man-and-the-wasp-quantumania-2023,avengers-endgame-2019,ant-man-and-the-wasp-quantumania-2023,crossover,world_lore,migrated_explicit_relation,work-relation-avengers-endgame-2019-ant-man-and-the-wasp-quantumania-2023-world-lore,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
