legacy_row_id,path_id,edge_order,source_id,target_id,legacy_edge_id,disposition,migration_note
story-path-000001,spider_raimi,1,spider-man-2002,spider-man-2-2004,spider-man-2002 -> spider-man-2-2004,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000002,spider_raimi,2,spider-man-2-2004,spider-man-3-2007,spider-man-2-2004 -> spider-man-3-2007,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000003,spider_raimi,3,spider-man-3-2007,spider-man-no-way-home-2021,spider-man-3-2007 -> spider-man-no-way-home-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000004,spider_amazing,1,the-amazing-spider-man-2012,the-amazing-spider-man-2-2014,the-amazing-spider-man-2012 -> the-amazing-spider-man-2-2014,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000005,spider_amazing,2,the-amazing-spider-man-2-2014,spider-man-no-way-home-2021,the-amazing-spider-man-2-2014 -> spider-man-no-way-home-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000006,spider_mcu,1,spider-man-homecoming-2017,spider-man-far-from-home-2019,spider-man-homecoming-2017 -> spider-man-far-from-home-2019,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000007,spider_mcu,2,spider-man-far-from-home-2019,spider-man-no-way-home-2021,spider-man-far-from-home-2019 -> spider-man-no-way-home-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000008,spider_mcu,3,spider-man-no-way-home-2021,spider-man-brand-new-day-2026-07-31,spider-man-no-way-home-2021 -> spider-man-brand-new-day-2026-07-31,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000009,mcu_avengers_event,1,the-avengers-2012,avengers-age-of-ultron-2015,the-avengers-2012 -> avengers-age-of-ultron-2015,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000010,mcu_avengers_event,2,avengers-age-of-ultron-2015,captain-america-civil-war-2016,avengers-age-of-ultron-2015 -> captain-america-civil-war-2016,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000011,mcu_avengers_event,3,captain-america-civil-war-2016,avengers-infinity-war-2018,captain-america-civil-war-2016 -> avengers-infinity-war-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000012,mcu_avengers_event,4,avengers-infinity-war-2018,avengers-endgame-2019,avengers-infinity-war-2018 -> avengers-endgame-2019,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000013,mcu_avengers_event,5,avengers-endgame-2019,avengers-doomsday-2026-12-18,avengers-endgame-2019 -> avengers-doomsday-2026-12-18,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000014,mcu_avengers_event,6,avengers-doomsday-2026-12-18,avengers-secret-wars-2027-12-17,avengers-doomsday-2026-12-18 -> avengers-secret-wars-2027-12-17,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000015,mcu_iron_man,1,iron-man-2008,iron-man-2-2010,iron-man-2008 -> iron-man-2-2010,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000016,mcu_iron_man,2,iron-man-2-2010,iron-man-3-2013,iron-man-2-2010 -> iron-man-3-2013,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000017,mcu_captain_america,1,captain-america-the-first-avenger-2011,captain-america-the-winter-soldier-2014,captain-america-the-first-avenger-2011 -> captain-america-the-winter-soldier-2014,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000018,mcu_captain_america,2,captain-america-the-winter-soldier-2014,captain-america-civil-war-2016,captain-america-the-winter-soldier-2014 -> captain-america-civil-war-2016,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000019,mcu_captain_america,3,captain-america-civil-war-2016,the-falcon-and-the-winter-soldier-2021,captain-america-civil-war-2016 -> the-falcon-and-the-winter-soldier-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000020,mcu_captain_america,4,the-falcon-and-the-winter-soldier-2021,captain-america-brave-new-world-2025,the-falcon-and-the-winter-soldier-2021 -> captain-america-brave-new-world-2025,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000021,mcu_widow_thunderbolts,1,captain-america-civil-war-2016,black-widow-2021,captain-america-civil-war-2016 -> black-widow-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000022,mcu_widow_thunderbolts,2,black-widow-2021,thunderbolts-new-avengers-2025,black-widow-2021 -> thunderbolts-new-avengers-2025,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000023,mcu_widow_thunderbolts,3,thunderbolts-new-avengers-2025,avengers-doomsday-2026-12-18,thunderbolts-new-avengers-2025 -> avengers-doomsday-2026-12-18,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000024,mcu_thor,1,thor-2011,thor-the-dark-world-2013,thor-2011 -> thor-the-dark-world-2013,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000025,mcu_thor,2,thor-the-dark-world-2013,thor-ragnarok-2017,thor-the-dark-world-2013 -> thor-ragnarok-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000026,mcu_thor,3,thor-ragnarok-2017,thor-love-and-thunder-2022,thor-ragnarok-2017 -> thor-love-and-thunder-2022,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000027,mcu_antman,1,ant-man-2015,ant-man-and-the-wasp-2018,ant-man-2015 -> ant-man-and-the-wasp-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000028,mcu_antman,2,ant-man-and-the-wasp-2018,ant-man-and-the-wasp-quantumania-2023,ant-man-and-the-wasp-2018 -> ant-man-and-the-wasp-quantumania-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000029,mcu_black_panther,1,captain-america-civil-war-2016,black-panther-2018,captain-america-civil-war-2016 -> black-panther-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000030,mcu_black_panther,2,black-panther-2018,black-panther-wakanda-forever-2022,black-panther-2018 -> black-panther-wakanda-forever-2022,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000031,mcu_guardians,1,guardians-of-the-galaxy-2014,guardians-of-the-galaxy-vol-2-2017,guardians-of-the-galaxy-2014 -> guardians-of-the-galaxy-vol-2-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000032,mcu_guardians,2,guardians-of-the-galaxy-vol-2-2017,the-guardians-of-the-galaxy-holiday-special-2022,guardians-of-the-galaxy-vol-2-2017 -> the-guardians-of-the-galaxy-holiday-special-2022,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000033,mcu_guardians,3,the-guardians-of-the-galaxy-holiday-special-2022,guardians-of-the-galaxy-vol-3-2023,the-guardians-of-the-galaxy-holiday-special-2022 -> guardians-of-the-galaxy-vol-3-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000034,mcu_groot,1,guardians-of-the-galaxy-vol-2-2017,i-am-groot-s1-2022,guardians-of-the-galaxy-vol-2-2017 -> i-am-groot-s1-2022,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000035,mcu_groot,2,i-am-groot-s1-2022,i-am-groot-s2-2023,i-am-groot-s1-2022 -> i-am-groot-s2-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000036,mcu_marvels_carol,1,captain-marvel-2019,the-marvels-2023,captain-marvel-2019 -> the-marvels-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000037,mcu_marvels_kamala,1,ms-marvel-2022,the-marvels-2023,ms-marvel-2022 -> the-marvels-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000038,mcu_fury_skrull,1,captain-marvel-2019,secret-invasion-2023,captain-marvel-2019 -> secret-invasion-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000039,mcu_fury_skrull,2,secret-invasion-2023,the-marvels-2023,secret-invasion-2023 -> the-marvels-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000040,mcu_wanda_strange,1,avengers-age-of-ultron-2015,wandavision-2021,avengers-age-of-ultron-2015 -> wandavision-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000041,mcu_wanda_strange,2,wandavision-2021,doctor-strange-in-the-multiverse-of-madness-2022,wandavision-2021 -> doctor-strange-in-the-multiverse-of-madness-2022,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000042,mcu_vision_agatha,1,avengers-age-of-ultron-2015,wandavision-2021,avengers-age-of-ultron-2015 -> wandavision-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000043,mcu_vision_agatha,2,wandavision-2021,agatha-all-along-2024,wandavision-2021 -> agatha-all-along-2024,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000044,mcu_vision_agatha,3,agatha-all-along-2024,visionquest-2026-10-14,agatha-all-along-2024 -> visionquest-2026-10-14,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000045,mcu_loki,1,loki-s1-2021,loki-s2-2023,loki-s1-2021 -> loki-s2-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000046,mcu_whatif,1,what-if-s1-2021,what-if-s2-2023,what-if-s1-2021 -> what-if-s2-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000047,mcu_whatif,2,what-if-s2-2023,what-if-s3-2024,what-if-s2-2023 -> what-if-s3-2024,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000048,mcu_daredevil,1,daredevil-s1-2015,daredevil-s2-2016,daredevil-s1-2015 -> daredevil-s2-2016,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000049,mcu_daredevil,2,daredevil-s2-2016,the-defenders-2017,daredevil-s2-2016 -> the-defenders-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000050,mcu_daredevil,3,the-defenders-2017,daredevil-s3-2018,the-defenders-2017 -> daredevil-s3-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000051,mcu_daredevil,4,daredevil-s3-2018,daredevil-born-again-s1-2025,daredevil-s3-2018 -> daredevil-born-again-s1-2025,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000052,mcu_daredevil,5,daredevil-born-again-s1-2025,daredevil-born-again-s2-2026,daredevil-born-again-s1-2025 -> daredevil-born-again-s2-2026,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000053,mcu_daredevil,6,daredevil-born-again-s2-2026,daredevil-born-again-s3-tba,daredevil-born-again-s2-2026 -> daredevil-born-again-s3-tba,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000054,mcu_jessica,1,jessica-jones-s1-2015,the-defenders-2017,jessica-jones-s1-2015 -> the-defenders-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000055,mcu_jessica,2,the-defenders-2017,jessica-jones-s2-2018,the-defenders-2017 -> jessica-jones-s2-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000056,mcu_jessica,3,jessica-jones-s2-2018,jessica-jones-s3-2019,jessica-jones-s2-2018 -> jessica-jones-s3-2019,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000057,mcu_luke,1,luke-cage-s1-2016,the-defenders-2017,luke-cage-s1-2016 -> the-defenders-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000058,mcu_luke,2,the-defenders-2017,luke-cage-s2-2018,the-defenders-2017 -> luke-cage-s2-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000059,mcu_iron_fist,1,iron-fist-s1-2017,the-defenders-2017,iron-fist-s1-2017 -> the-defenders-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000060,mcu_iron_fist,2,the-defenders-2017,iron-fist-s2-2018,the-defenders-2017 -> iron-fist-s2-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000061,mcu_punisher,1,daredevil-s2-2016,the-punisher-s1-2017,daredevil-s2-2016 -> the-punisher-s1-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000062,mcu_punisher,2,the-punisher-s1-2017,the-punisher-s2-2019,the-punisher-s1-2017 -> the-punisher-s2-2019,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000063,mcu_punisher,3,the-punisher-s2-2019,daredevil-born-again-s1-2025,the-punisher-s2-2019 -> daredevil-born-again-s1-2025,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000064,mcu_punisher,4,daredevil-born-again-s1-2025,daredevil-born-again-s2-2026,daredevil-born-again-s1-2025 -> daredevil-born-again-s2-2026,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000065,mcu_punisher,5,daredevil-born-again-s2-2026,the-punisher-one-last-kill-2026-05-12,daredevil-born-again-s2-2026 -> the-punisher-one-last-kill-2026-05-12,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000066,mcu_hawkeye_echo,1,avengers-endgame-2019,hawkeye-2021,avengers-endgame-2019 -> hawkeye-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000067,mcu_hawkeye_echo,2,hawkeye-2021,echo-2024,hawkeye-2021 -> echo-2024,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000068,mcu_hawkeye_echo,3,echo-2024,daredevil-born-again-s1-2025,echo-2024 -> daredevil-born-again-s1-2025,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000069,ssu_venom,1,venom-2018,venom-let-there-be-carnage-2021,venom-2018 -> venom-let-there-be-carnage-2021,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000070,ssu_venom,2,venom-let-there-be-carnage-2021,venom-the-last-dance-2024,venom-let-there-be-carnage-2021 -> venom-the-last-dance-2024,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000071,fox_original,1,x-men-2000,x2-x-men-united-2003,x-men-2000 -> x2-x-men-united-2003,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000072,fox_original,2,x2-x-men-united-2003,x-men-the-last-stand-2006,x2-x-men-united-2003 -> x-men-the-last-stand-2006,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000073,fox_original,3,x-men-the-last-stand-2006,the-wolverine-2013,x-men-the-last-stand-2006 -> the-wolverine-2013,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000074,fox_original,4,the-wolverine-2013,x-men-days-of-future-past-2014,the-wolverine-2013 -> x-men-days-of-future-past-2014,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000075,fox_original,5,x-men-days-of-future-past-2014,x-men-apocalypse-2016,x-men-days-of-future-past-2014 -> x-men-apocalypse-2016,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000076,fox_original,6,x-men-apocalypse-2016,dark-phoenix-2019,x-men-apocalypse-2016 -> dark-phoenix-2019,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000077,fox_first_class,1,x-men-first-class-2011,x-men-days-of-future-past-2014,x-men-first-class-2011 -> x-men-days-of-future-past-2014,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000078,fox_wolverine,1,x-men-origins-wolverine-2009,the-wolverine-2013,x-men-origins-wolverine-2009 -> the-wolverine-2013,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000079,fox_wolverine,2,the-wolverine-2013,logan-2017,the-wolverine-2013 -> logan-2017,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000080,fox_deadpool,1,deadpool-2016,deadpool-2-2018,deadpool-2016 -> deadpool-2-2018,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000081,fox_deadpool,2,deadpool-2-2018,deadpool-wolverine-2024,deadpool-2-2018 -> deadpool-wolverine-2024,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000082,spiderverse_anim,1,spider-man-into-the-spider-verse-2018,spider-man-across-the-spider-verse-2023,spider-man-into-the-spider-verse-2018 -> spider-man-across-the-spider-verse-2023,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
story-path-000083,spiderverse_anim,2,spider-man-across-the-spider-verse-2023,spider-man-beyond-the-spider-verse-tba,spider-man-across-the-spider-verse-2023 -> spider-man-beyond-the-spider-verse-tba,reproduced_from_v5_graph,Legacy path pair is explained by the current derived v5 graph.
