work_continuity_id,work_id,continuity_id,relation_to_continuity,certainty,verification_status,notes
work-continuity-x-men-first-class-2011-continuity-fox-x-men,x-men-first-class-2011,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,分岐以前の共通起点として表示。
work-continuity-x-men-origins-wolverine-2009-continuity-fox-x-men,x-men-origins-wolverine-2009,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,旧系列。絶対年代は表示しない。
work-continuity-x-men-2000-continuity-fox-x-men,x-men-2000,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,旧系列。
work-continuity-x2-x-men-united-2003-continuity-fox-x-men,x2-x-men-united-2003,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,旧系列。
work-continuity-x-men-the-last-stand-2006-continuity-fox-x-men,x-men-the-last-stand-2006,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,旧系列。
work-continuity-the-wolverine-2013-continuity-fox-x-men,the-wolverine-2013,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,旧系列。
work-continuity-x-men-days-of-future-past-2014-continuity-fox-x-men,x-men-days-of-future-past-2014,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,過去改変を伴う分岐点として表示。
work-continuity-x-men-apocalypse-2016-continuity-fox-x-men,x-men-apocalypse-2016,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,改変後系列。
work-continuity-dark-phoenix-2019-continuity-fox-x-men,dark-phoenix-2019,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,改変後系列。
work-continuity-deadpool-2016-continuity-fox-x-men,deadpool-2016,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,FOX X-MEN群の側線として表示し、厳密な合流点は固定しない。
work-continuity-deadpool-2-2018-continuity-fox-x-men,deadpool-2-2018,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,FOX X-MEN群の側線として表示し、厳密な合流点は固定しない。
work-continuity-logan-2017-continuity-fox-x-men,logan-2017,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,位置づけに解釈差があるため、枝へ強制接続しない。
work-continuity-the-new-mutants-2020-continuity-fox-x-men,the-new-mutants-2020,continuity-fox-x-men,legacy_group_membership,unknown,legacy_seed,根拠のない直接リンクを作らず、位置づけ保留として表示。
work-continuity-captain-america-the-first-avenger-2011-continuity-mcu,captain-america-the-first-avenger-2011,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-captain-marvel-2019-continuity-mcu,captain-marvel-2019,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-iron-man-2008-continuity-mcu,iron-man-2008,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-iron-man-2-2010-continuity-mcu,iron-man-2-2010,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-the-incredible-hulk-2008-continuity-mcu,the-incredible-hulk-2008,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-thor-2011-continuity-mcu,thor-2011,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-the-avengers-2012-continuity-mcu,the-avengers-2012,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-thor-the-dark-world-2013-continuity-mcu,thor-the-dark-world-2013,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-iron-man-3-2013-continuity-mcu,iron-man-3-2013,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-captain-america-the-winter-soldier-2014-continuity-mcu,captain-america-the-winter-soldier-2014,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-guardians-of-the-galaxy-2014-continuity-mcu,guardians-of-the-galaxy-2014,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-guardians-of-the-galaxy-vol-2-2017-continuity-mcu,guardians-of-the-galaxy-vol-2-2017,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-i-am-groot-s1-2022-continuity-mcu,i-am-groot-s1-2022,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-i-am-groot-s2-2023-continuity-mcu,i-am-groot-s2-2023,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-daredevil-s1-2015-continuity-mcu,daredevil-s1-2015,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-jessica-jones-s1-2015-continuity-mcu,jessica-jones-s1-2015,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-avengers-age-of-ultron-2015-continuity-mcu,avengers-age-of-ultron-2015,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-ant-man-2015-continuity-mcu,ant-man-2015,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-daredevil-s2-2016-continuity-mcu,daredevil-s2-2016,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-luke-cage-s1-2016-continuity-mcu,luke-cage-s1-2016,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-iron-fist-s1-2017-continuity-mcu,iron-fist-s1-2017,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-the-defenders-2017-continuity-mcu,the-defenders-2017,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-captain-america-civil-war-2016-continuity-mcu,captain-america-civil-war-2016,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-black-widow-2021-continuity-mcu,black-widow-2021,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-black-panther-2018-continuity-mcu,black-panther-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-spider-man-homecoming-2017-continuity-mcu,spider-man-homecoming-2017,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-the-punisher-s1-2017-continuity-mcu,the-punisher-s1-2017,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-doctor-strange-2016-continuity-mcu,doctor-strange-2016,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-jessica-jones-s2-2018-continuity-mcu,jessica-jones-s2-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-luke-cage-s2-2018-continuity-mcu,luke-cage-s2-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-iron-fist-s2-2018-continuity-mcu,iron-fist-s2-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-daredevil-s3-2018-continuity-mcu,daredevil-s3-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-thor-ragnarok-2017-continuity-mcu,thor-ragnarok-2017,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-the-punisher-s2-2019-continuity-mcu,the-punisher-s2-2019,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-jessica-jones-s3-2019-continuity-mcu,jessica-jones-s3-2019,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-ant-man-and-the-wasp-2018-continuity-mcu,ant-man-and-the-wasp-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-avengers-infinity-war-2018-continuity-mcu,avengers-infinity-war-2018,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
work-continuity-avengers-endgame-2019-continuity-mcu,avengers-endgame-2019,continuity-mcu,legacy_group_membership,unknown,legacy_seed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。
