release_id,work_id,territory,release_kind,release_date,release_precision,status,certainty,verification_status,notes
release-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-primary,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,unknown,home_video,2011-10-25,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-agatha-all-along-2024-primary,agatha-all-along-2024,unknown,streaming,2024-09-18,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-agent-carter-one-shot-2013-primary,agent-carter-one-shot-2013,unknown,home_video,2013-09-24,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-agents-of-s-h-i-e-l-d-20132020-primary,agents-of-s-h-i-e-l-d-20132020,US,series_start,2013-09-24,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-all-hail-the-king-2014-primary,all-hail-the-king-2014,unknown,home_video,2014-02-25,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-ant-man-2015-primary,ant-man-2015,US,theatrical,2015-07-17,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-ant-man-and-the-wasp-2018-primary,ant-man-and-the-wasp-2018,US,theatrical,2018-07-06,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-ant-man-and-the-wasp-quantumania-2023-primary,ant-man-and-the-wasp-quantumania-2023,US,theatrical,2023-02-17,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-avengers-age-of-ultron-2015-primary,avengers-age-of-ultron-2015,US,theatrical,2015-05-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-avengers-doomsday-2026-12-18-jp,avengers-doomsday-2026-12-18,JP,theatrical,,none,announced,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='日本劇場公開（日米同時予定）'. Original japan_date='2026年12月18日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-avengers-doomsday-2026-12-18-primary,avengers-doomsday-2026-12-18,US,theatrical,2026-12-18,day,announced,confirmed,source_verified,"U.S. theatrical release date verified against Marvel's official movie listing; migrated release fields and day precision retained."
release-avengers-endgame-2019-primary,avengers-endgame-2019,US,theatrical,2019-04-26,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-avengers-infinity-war-2018-primary,avengers-infinity-war-2018,US,theatrical,2018-04-27,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-avengers-secret-wars-2027-12-17-primary,avengers-secret-wars-2027-12-17,US,theatrical,2027-12-17,day,announced,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-black-panther-2018-primary,black-panther-2018,US,theatrical,2018-02-16,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-black-panther-wakanda-forever-2022-primary,black-panther-wakanda-forever-2022,US,theatrical,2022-11-11,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-black-widow-2021-primary,black-widow-2021,US,theatrical,2021-07-09,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-blade-1998-1998-primary,blade-1998-1998,US,theatrical,1998-08-21,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-blade-ii-2002-primary,blade-ii-2002,US,theatrical,2002-03-22,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-blade-mcu-tba-tba-primary,blade-mcu-tba-tba,unknown,undated,,none,announced,unknown,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-blade-trinity-2004-primary,blade-trinity-2004,US,theatrical,2004-12-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-captain-america-brave-new-world-2025-primary,captain-america-brave-new-world-2025,US,theatrical,2025-02-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-captain-america-civil-war-2016-primary,captain-america-civil-war-2016,US,theatrical,2016-05-06,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-captain-america-the-first-avenger-2011-primary,captain-america-the-first-avenger-2011,US,theatrical,2011-07-22,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-captain-america-the-winter-soldier-2014-primary,captain-america-the-winter-soldier-2014,US,theatrical,2014-04-04,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-captain-marvel-2019-primary,captain-marvel-2019,US,theatrical,2019-03-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-cloak-dagger-20182019-primary,cloak-dagger-20182019,US,series_start,2018-06-07,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-2003-primary,daredevil-2003,US,theatrical,2003-02-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-born-again-s1-2025-primary,daredevil-born-again-s1-2025,unknown,streaming,2025-03-04,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-born-again-s2-2026-jp,daredevil-born-again-s2-2026,JP,streaming,,none,released,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='日本Disney+独占配信開始'. Original japan_date='2026年3月25日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-daredevil-born-again-s2-2026-primary,daredevil-born-again-s2-2026,unknown,streaming,2026-03-24,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-born-again-s3-tba-primary,daredevil-born-again-s3-tba,unknown,streaming,2027-03,month,announced,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-s1-2015-primary,daredevil-s1-2015,unknown,streaming,2015-04-10,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-s2-2016-primary,daredevil-s2-2016,unknown,streaming,2016-03-18,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-daredevil-s3-2018-primary,daredevil-s3-2018,unknown,streaming,2018-10-19,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-dark-phoenix-2019-primary,dark-phoenix-2019,US,theatrical,2019-06-07,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-deadpool-2-2018-primary,deadpool-2-2018,US,theatrical,2018-05-18,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-deadpool-2016-primary,deadpool-2016,US,theatrical,2016-02-12,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-deadpool-wolverine-2024-primary,deadpool-wolverine-2024,US,theatrical,2024-07-26,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-doctor-strange-2016-primary,doctor-strange-2016,US,theatrical,2016-11-04,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-doctor-strange-in-the-multiverse-of-madness-2022-primary,doctor-strange-in-the-multiverse-of-madness-2022,US,theatrical,2022-05-06,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
