work_id,title_ja,title_en,title_official,release,release_raw,format,status,priority,branch_ja,branch_en,classification,ja_status,japan_date,japan_type,source_url,source_note,notes,chronology_lane,chronology_order,chronology_track,chronology_certainty,chronology_note,release_sort_date,release_display_date,release_kind,release_certainty,release_precision,release_source_note,aliases_ja,title_audit_status,title_audit_source_url,title_last_verified,title_management_note,stable_id_note
iron-man-2008,アイアンマン,Iron Man,アイアンマン,2008年,2008,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 1,established,,,,,,mcu-main,30,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2008-05-02,2008.05.02,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
the-incredible-hulk-2008,インクレディブル・ハルク,The Incredible Hulk,インクレディブル・ハルク,2008年,2008,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 1,established,,,,,,mcu-main,50,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2008-06-13,2008.06.13,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
iron-man-2-2010,アイアンマン2,Iron Man 2,アイアンマン2,2010年,2010,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 1,established,,,,,,mcu-main,40,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2010-05-07,2010.05.07,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
thor-2011,マイティ・ソー,Thor,マイティ・ソー,2011年,2011,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 1,established,,,,,,mcu-main,60,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2011-05-06,2011.05.06,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,Captain America: The First Avenger,キャプテン・アメリカ／ザ・ファースト・アベンジャー,2011年,2011,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 1,verified-current,,,,,,mcu-main,10,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2011-07-22,2011.07.22,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
the-avengers-2012,アベンジャーズ,The Avengers,アベンジャーズ,2012年,2012,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 1,established,,,,,,mcu-main,70,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2012-05-04,2012.05.04,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
iron-man-3-2013,アイアンマン3,Iron Man 3,アイアンマン3,2013年,2013,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 2,verified-current,,,,,,mcu-main,90,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2013-05-03,2013.05.03,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,Thor: The Dark World,マイティ・ソー／ダーク・ワールド,2013年,2013,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 2,verified-current,,,,,,mcu-main,80,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2013-11-08,2013.11.08,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,Captain America: The Winter Soldier,キャプテン・アメリカ／ウィンター・ソルジャー,2014年,2014,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 2,verified-current,,,,,,mcu-main,100,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2014-04-04,2014.04.04,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
guardians-of-the-galaxy-2014,ガーディアンズ・オブ・ギャラクシー,Guardians of the Galaxy,ガーディアンズ・オブ・ギャラクシー,2014年,2014,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 2,verified-current,,,,,,mcu-main,110,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2014-08-01,2014.08.01,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
