prewatch_edge_id,source_work_id,target_work_id,tier,reason,basis
prewatch-iron-man-2-2010-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-recommended,iron-man-2-2010,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-wandavision-2021-agatha-all-along-2024-minimum,wandavision-2021,agatha-all-along-2024,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-captain-america-the-first-avenger-2011-agent-carter-one-shot-2013-recommended,captain-america-the-first-avenger-2011,agent-carter-one-shot-2013,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-avengers-age-of-ultron-2015-agents-of-s-h-i-e-l-d-20132020-complete,avengers-age-of-ultron-2015,agents-of-s-h-i-e-l-d-20132020,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-captain-america-civil-war-2016-agents-of-s-h-i-e-l-d-20132020-complete,captain-america-civil-war-2016,agents-of-s-h-i-e-l-d-20132020,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-marvel-s-agent-carter-series-20152016-agents-of-s-h-i-e-l-d-20132020-complete,marvel-s-agent-carter-series-20152016,agents-of-s-h-i-e-l-d-20132020,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-thor-the-dark-world-2013-agents-of-s-h-i-e-l-d-20132020-complete,thor-the-dark-world-2013,agents-of-s-h-i-e-l-d-20132020,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-captain-america-the-winter-soldier-2014-agents-of-s-h-i-e-l-d-20132020-minimum,captain-america-the-winter-soldier-2014,agents-of-s-h-i-e-l-d-20132020,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-avengers-2012-agents-of-s-h-i-e-l-d-20132020-recommended,the-avengers-2012,agents-of-s-h-i-e-l-d-20132020,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-iron-man-3-2013-all-hail-the-king-2014-recommended,iron-man-3-2013,all-hail-the-king-2014,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-ant-man-2015-ant-man-and-the-wasp-2018-minimum,ant-man-2015,ant-man-and-the-wasp-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
