work_id,title_ja,world_group,lane,order,track,certainty,note,story_group_override,management_notes
x-men-first-class-2011,X-MEN：ファースト・ジェネレーション,FOX X-MEN,fox-xmen,10,shared-origin,confirmed,分岐以前の共通起点として表示。,,
x-men-origins-wolverine-2009,ウルヴァリン：X-MEN ZERO,FOX X-MEN,fox-xmen,20,original,confirmed,旧系列。絶対年代は表示しない。,,
x-men-2000,X-MEN,FOX X-MEN,fox-xmen,30,original,confirmed,旧系列。,,
x2-x-men-united-2003,X-MEN2,FOX X-MEN,fox-xmen,40,original,confirmed,旧系列。,,
x-men-the-last-stand-2006,X-MEN：ファイナル ディシジョン,FOX X-MEN,fox-xmen,50,original,confirmed,旧系列。,,
the-wolverine-2013,ウルヴァリン：SAMURAI,FOX X-MEN,fox-xmen,60,original,confirmed,旧系列。,,
x-men-days-of-future-past-2014,X-MEN：フューチャー＆パスト,FOX X-MEN,fox-xmen,70,pivot,confirmed,過去改変を伴う分岐点として表示。,,
x-men-apocalypse-2016,X-MEN：アポカリプス,FOX X-MEN,fox-xmen,80,revised,confirmed,改変後系列。,,
dark-phoenix-2019,X-MEN：ダーク・フェニックス,FOX X-MEN,fox-xmen,90,revised,confirmed,改変後系列。,,
deadpool-2016,デッドプール,FOX X-MEN,fox-xmen,100,revised-side,ambiguous,FOX X-MEN群の側線として表示し、厳密な合流点は固定しない。,,
deadpool-2-2018,デッドプール2,FOX X-MEN,fox-xmen,110,revised-side,ambiguous,FOX X-MEN群の側線として表示し、厳密な合流点は固定しない。,,
logan-2017,LOGAN／ローガン,FOX X-MEN,fox-xmen,120,ambiguous,ambiguous,位置づけに解釈差があるため、枝へ強制接続しない。,,
the-new-mutants-2020,ニュー・ミュータント,FOX X-MEN,fox-xmen,130,ambiguous,ambiguous,根拠のない直接リンクを作らず、位置づけ保留として表示。,,
captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,MCU,mcu-main,10,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
captain-marvel-2019,キャプテン・マーベル,MCU,mcu-main,20,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
iron-man-2008,アイアンマン,MCU,mcu-main,30,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
iron-man-2-2010,アイアンマン2,MCU,mcu-main,40,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-incredible-hulk-2008,インクレディブル・ハルク,MCU,mcu-main,50,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
thor-2011,マイティ・ソー,MCU,mcu-main,60,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-avengers-2012,アベンジャーズ,MCU,mcu-main,70,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,MCU,mcu-main,80,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
iron-man-3-2013,アイアンマン3,MCU,mcu-main,90,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,MCU,mcu-main,100,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
guardians-of-the-galaxy-2014,ガーディアンズ・オブ・ギャラクシー,MCU,mcu-main,110,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
