production_status_assertion_id,work_id,status,asserted_at,certainty,verification_status,notes
production-status-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-snapshot-2026-08-28,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-agatha-all-along-2024-snapshot-2026-08-28,agatha-all-along-2024,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-agent-carter-one-shot-2013-snapshot-2026-08-28,agent-carter-one-shot-2013,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-agents-of-s-h-i-e-l-d-20132020-snapshot-2026-08-28,agents-of-s-h-i-e-l-d-20132020,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-all-hail-the-king-2014-snapshot-2026-08-28,all-hail-the-king-2014,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-ant-man-2015-snapshot-2026-08-28,ant-man-2015,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-ant-man-and-the-wasp-2018-snapshot-2026-08-28,ant-man-and-the-wasp-2018,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-ant-man-and-the-wasp-quantumania-2023-snapshot-2026-08-28,ant-man-and-the-wasp-quantumania-2023,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-avengers-age-of-ultron-2015-snapshot-2026-08-28,avengers-age-of-ultron-2015,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-avengers-doomsday-2026-12-18-snapshot-2026-08-28,avengers-doomsday-2026-12-18,announced,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-avengers-endgame-2019-snapshot-2026-08-28,avengers-endgame-2019,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-avengers-infinity-war-2018-snapshot-2026-08-28,avengers-infinity-war-2018,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-avengers-secret-wars-2027-12-17-snapshot-2026-08-28,avengers-secret-wars-2027-12-17,announced,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-black-panther-2018-snapshot-2026-08-28,black-panther-2018,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-black-panther-wakanda-forever-2022-snapshot-2026-08-28,black-panther-wakanda-forever-2022,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
production-status-black-widow-2021-snapshot-2026-08-28,black-widow-2021,released,2026-08-28,confirmed,legacy_seed,"Current status snapshot migrated from works.csv as a legacy seed; asserted_at is the migration review date, not an invented historical milestone."
