legacy_row_id,work_id,world_group,lane,track,legacy_order,disposition,migration_note
chronology-000001,x-men-first-class-2011,FOX X-MEN,fox-xmen,shared-origin,10,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000002,x-men-origins-wolverine-2009,FOX X-MEN,fox-xmen,original,20,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000003,x-men-2000,FOX X-MEN,fox-xmen,original,30,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000004,x2-x-men-united-2003,FOX X-MEN,fox-xmen,original,40,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000005,x-men-the-last-stand-2006,FOX X-MEN,fox-xmen,original,50,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000006,the-wolverine-2013,FOX X-MEN,fox-xmen,original,60,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000007,x-men-days-of-future-past-2014,FOX X-MEN,fox-xmen,pivot,70,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000008,x-men-apocalypse-2016,FOX X-MEN,fox-xmen,revised,80,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000009,dark-phoenix-2019,FOX X-MEN,fox-xmen,revised,90,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000010,deadpool-2016,FOX X-MEN,fox-xmen,revised-side,100,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000011,deadpool-2-2018,FOX X-MEN,fox-xmen,revised-side,110,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000012,logan-2017,FOX X-MEN,fox-xmen,ambiguous,120,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000013,the-new-mutants-2020,FOX X-MEN,fox-xmen,ambiguous,130,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000014,captain-america-the-first-avenger-2011,MCU,mcu-main,main,10,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000015,captain-marvel-2019,MCU,mcu-main,main,20,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000016,iron-man-2008,MCU,mcu-main,main,30,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000017,iron-man-2-2010,MCU,mcu-main,main,40,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000018,the-incredible-hulk-2008,MCU,mcu-main,main,50,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000019,thor-2011,MCU,mcu-main,main,60,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000020,the-avengers-2012,MCU,mcu-main,main,70,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000021,thor-the-dark-world-2013,MCU,mcu-main,main,80,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000022,iron-man-3-2013,MCU,mcu-main,main,90,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000023,captain-america-the-winter-soldier-2014,MCU,mcu-main,main,100,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000024,guardians-of-the-galaxy-2014,MCU,mcu-main,main,110,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000025,guardians-of-the-galaxy-vol-2-2017,MCU,mcu-main,main,120,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000026,i-am-groot-s1-2022,MCU,mcu-main,main,130,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000027,i-am-groot-s2-2023,MCU,mcu-main,main,140,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000028,daredevil-s1-2015,MCU,mcu-main,main,150,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000029,jessica-jones-s1-2015,MCU,mcu-main,main,160,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000030,avengers-age-of-ultron-2015,MCU,mcu-main,main,170,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000031,ant-man-2015,MCU,mcu-main,main,180,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000032,daredevil-s2-2016,MCU,mcu-main,main,190,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000033,luke-cage-s1-2016,MCU,mcu-main,main,200,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000034,iron-fist-s1-2017,MCU,mcu-main,main,210,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000035,the-defenders-2017,MCU,mcu-main,main,220,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000036,captain-america-civil-war-2016,MCU,mcu-main,main,230,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000037,black-widow-2021,MCU,mcu-main,main,240,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
chronology-000038,black-panther-2018,MCU,mcu-main,main,250,legacy_display_placement_seed,lane/order/track are not promoted to source-backed chronology assertions without evidence audit.
