appearance_id,work_id,entity_id,appearance_kind,certainty,verification_status,notes
appearance-iron-man-2008-entity-x-5a2ee964f0,iron-man-2008,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-iron-man-2-2010-entity-x-5a2ee964f0,iron-man-2-2010,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-5a2ee964f0,the-avengers-2012,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-iron-man-3-2013-entity-x-5a2ee964f0,iron-man-3-2013,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-5a2ee964f0,avengers-age-of-ultron-2015,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-5a2ee964f0,captain-america-civil-war-2016,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-homecoming-2017-entity-x-5a2ee964f0,spider-man-homecoming-2017,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-5a2ee964f0,avengers-infinity-war-2018,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-5a2ee964f0,avengers-endgame-2019,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-the-first-avenger-2011-entity-x-f2dcf7c7cc,captain-america-the-first-avenger-2011,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-f2dcf7c7cc,the-avengers-2012,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-the-winter-soldier-2014-entity-x-f2dcf7c7cc,captain-america-the-winter-soldier-2014,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-f2dcf7c7cc,avengers-age-of-ultron-2015,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-f2dcf7c7cc,captain-america-civil-war-2016,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-f2dcf7c7cc,avengers-infinity-war-2018,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-f2dcf7c7cc,avengers-endgame-2019,entity-x-f2dcf7c7cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-2011-entity-x-7250204b23,thor-2011,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-7250204b23,the-avengers-2012,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-the-dark-world-2013-entity-x-7250204b23,thor-the-dark-world-2013,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-7250204b23,avengers-age-of-ultron-2015,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-ragnarok-2017-entity-x-7250204b23,thor-ragnarok-2017,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-7250204b23,avengers-infinity-war-2018,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-7250204b23,avengers-endgame-2019,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-love-and-thunder-2022-entity-x-7250204b23,thor-love-and-thunder-2022,entity-x-7250204b23,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-iron-man-2-2010-entity-x-927d19aa0b,iron-man-2-2010,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-927d19aa0b,the-avengers-2012,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-the-winter-soldier-2014-entity-x-927d19aa0b,captain-america-the-winter-soldier-2014,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-927d19aa0b,avengers-age-of-ultron-2015,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-927d19aa0b,captain-america-civil-war-2016,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-927d19aa0b,avengers-infinity-war-2018,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-927d19aa0b,avengers-endgame-2019,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-black-widow-2021-entity-x-927d19aa0b,black-widow-2021,entity-x-927d19aa0b,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-605a05a114,the-avengers-2012,entity-x-605a05a114,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-605a05a114,avengers-age-of-ultron-2015,entity-x-605a05a114,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-605a05a114,captain-america-civil-war-2016,entity-x-605a05a114,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-605a05a114,avengers-endgame-2019,entity-x-605a05a114,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-hawkeye-2021-entity-x-605a05a114,hawkeye-2021,entity-x-605a05a114,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-incredible-hulk-2008-entity-x-50a34df778,the-incredible-hulk-2008,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-50a34df778,the-avengers-2012,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-50a34df778,avengers-age-of-ultron-2015,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-ragnarok-2017-entity-x-50a34df778,thor-ragnarok-2017,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-50a34df778,avengers-infinity-war-2018,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-50a34df778,avengers-endgame-2019,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-she-hulk-attorney-at-law-2022-entity-x-50a34df778,she-hulk-attorney-at-law-2022,entity-x-50a34df778,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-42251c0735,avengers-age-of-ultron-2015,entity-x-42251c0735,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-42251c0735,captain-america-civil-war-2016,entity-x-42251c0735,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-42251c0735,avengers-infinity-war-2018,entity-x-42251c0735,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-42251c0735,avengers-endgame-2019,entity-x-42251c0735,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-wandavision-2021-entity-x-42251c0735,wandavision-2021,entity-x-42251c0735,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-doctor-strange-in-the-multiverse-of-madness-2022-entity-x-42251c0735,doctor-strange-in-the-multiverse-of-madness-2022,entity-x-42251c0735,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-age-of-ultron-2015-entity-x-5d8d873f91,avengers-age-of-ultron-2015,entity-x-5d8d873f91,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-5d8d873f91,captain-america-civil-war-2016,entity-x-5d8d873f91,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-5d8d873f91,avengers-infinity-war-2018,entity-x-5d8d873f91,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-wandavision-2021-entity-x-5d8d873f91,wandavision-2021,entity-x-5d8d873f91,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-visionquest-2026-10-14-entity-x-5d8d873f91,visionquest-2026-10-14,entity-x-5d8d873f91,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-the-winter-soldier-2014-entity-x-fd344cdc17,captain-america-the-winter-soldier-2014,entity-x-fd344cdc17,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
